id,name,account_name,owner_id,owner_name,segment,amount,stage,stage_order,probability,forecast_category,close_date,created_date,last_activity_date,next_step,days_since_last_activity,is_closed,is_won
opp_0054,Wonka Analytics - Platform,Wonka Analytics,rep_003,Priya Raman,Mid-Market,61500,Discovery,1,10,Pipeline,2026-07-14,2025-12-28,2026-05-18,,2,False,False
opp_0055,Soylent Labs - New Logo,Soylent Labs,rep_003,Priya Raman,Mid-Market,82500,Qualification,2,20,Pipeline,2026-09-04,2025-12-23,2026-05-20,Schedule security review with their CISO,0,False,False
opp_0056,Mom's Friendly Holdings - Upsell,Mom's Friendly Holdings,rep_003,Priya Raman,Mid-Market,59000,Closed Won,6,100,Closed,2026-05-01,2026-01-15,2026-05-07,Get verbal commit on close date from buyer,13,True,True
opp_0057,Oscorp Industries - Expansion,Oscorp Industries,rep_003,Priya Raman,Mid-Market,66500,Proposal,3,40,Pipeline,2026-07-18,2025-12-01,2026-05-07,Schedule security review with their CISO,13,False,False
opp_0058,Globex Health - Expansion,Globex Health,rep_003,Priya Raman,Mid-Market,52000,Closed Won,6,100,Closed,2026-04-23,2025-09-19,2026-05-12,Send revised SOW reflecting reduced scope,8,True,True
opp_0059,Mooby Corp - Platform,Mooby Corp,rep_003,Priya Raman,Mid-Market,49000,Negotiation,4,65,BestCase,2026-07-14,2026-03-13,2026-03-05,Follow up on pricing after Friday's call,76,False,False
opp_0060,Quick Stop Holdings - New Logo,Quick Stop Holdings,rep_003,Priya Raman,Mid-Market,57500,Discovery,1,10,Pipeline,2026-07-25,2025-11-29,2026-05-06,Send mutual close plan for sign-off,14,False,False
opp_0061,Initech Industries - Renewal,Initech Industries,rep_003,Priya Raman,Mid-Market,52500,Negotiation,4,65,BestCase,2026-06-04,2026-01-29,2026-04-28,Loop in their legal team on MSA redlines,22,False,False
opp_0062,Stark Technologies - Upsell,Stark Technologies,rep_003,Priya Raman,Mid-Market,57000,Closed Won,6,100,Closed,2026-04-26,2025-11-10,2026-02-21,,88,True,True
opp_0063,Sudden Valley Corp - Renewal,Sudden Valley Corp,rep_003,Priya Raman,Mid-Market,87500,Proposal,3,40,Pipeline,2026-06-11,2025-11-13,2026-05-08,Schedule security review with their CISO,12,False,False
opp_0064,Pendant Publishing Systems - Expansion,Pendant Publishing Systems,rep_003,Priya Raman,Mid-Market,35000,Discovery,1,10,Pipeline,2026-10-04,2026-01-21,2026-05-17,Send mutual close plan for sign-off,3,False,False
opp_0065,LexCorp Networks - New Logo,LexCorp Networks,rep_003,Priya Raman,Mid-Market,64000,Proposal,3,40,Pipeline,2026-06-16,2025-10-07,2026-04-14,,36,False,False
opp_0066,Globex Bio - New Logo,Globex Bio,rep_003,Priya Raman,Mid-Market,20000,Proposal,3,40,Pipeline,2026-06-27,2026-01-21,2026-05-11,Get verbal commit on close date from buyer,9,False,False
opp_0067,Oscorp Labs - New Logo,Oscorp Labs,rep_003,Priya Raman,Mid-Market,34000,Negotiation,4,65,BestCase,2026-06-25,2026-02-19,2026-03-16,,65,False,False
opp_0068,Mooby Logistics - Upsell,Mooby Logistics,rep_003,Priya Raman,Mid-Market,93500,Negotiation,4,65,BestCase,2026-06-03,2026-02-26,2026-05-17,Follow up on pricing after Friday's call,3,False,False
opp_0069,Initech Systems - Renewal,Initech Systems,rep_003,Priya Raman,Mid-Market,89000,Proposal,3,40,Pipeline,2026-06-27,2026-01-11,2026-05-12,Send mutual close plan for sign-off,8,False,False
opp_0070,Sudden Valley Solutions - Renewal,Sudden Valley Solutions,rep_003,Priya Raman,Mid-Market,35000,Qualification,2,20,Pipeline,2026-11-11,2026-02-07,2026-04-23,,27,False,False
opp_0071,Umbrella Labs - Renewal,Umbrella Labs,rep_003,Priya Raman,Mid-Market,39500,Proposal,3,40,Pipeline,2026-08-08,2025-11-23,2026-05-13,,7,False,False
opp_0072,Initech Networks - New Logo,Initech Networks,rep_004,Tomas Lindgren,Mid-Market,46500,Qualification,2,20,Pipeline,2026-08-09,2026-02-08,2026-05-20,Get verbal commit on close date from buyer,0,False,False
opp_0073,Massive Dynamic Networks - Renewal,Massive Dynamic Networks,rep_004,Tomas Lindgren,Mid-Market,44500,Proposal,3,40,BestCase,2026-07-19,2026-01-07,2026-05-19,Demo the API integration to their eng team,1,False,False
opp_0074,Bluestar Dynamics - Expansion,Bluestar Dynamics,rep_004,Tomas Lindgren,Mid-Market,39000,Proposal,3,40,BestCase,2026-06-28,2025-10-06,2026-05-19,Schedule security review with their CISO,1,False,False
opp_0075,Anaconda Realty Systems - New Logo,Anaconda Realty Systems,rep_004,Tomas Lindgren,Mid-Market,49000,Closed Won,6,100,Closed,2026-04-21,2025-12-15,2026-05-10,Send mutual close plan for sign-off,10,True,True
opp_0076,Krusty Krab Systems - New Logo,Krusty Krab Systems,rep_004,Tomas Lindgren,Mid-Market,91000,Closed Lost,7,0,Closed,2026-05-10,2025-11-26,2026-05-19,Send mutual close plan for sign-off,1,True,False
opp_0077,Globex Analytics - New Logo,Globex Analytics,rep_004,Tomas Lindgren,Mid-Market,71000,Qualification,2,20,Pipeline,2026-07-22,2026-02-21,2026-05-11,Send revised SOW reflecting reduced scope,9,False,False
opp_0078,Oscorp Bio - Platform,Oscorp Bio,rep_004,Tomas Lindgren,Mid-Market,64000,Proposal,3,40,BestCase,2026-07-17,2025-10-05,2026-05-15,Schedule security review with their CISO,5,False,False
opp_0079,Buy n Large Health - Upsell,Buy n Large Health,rep_004,Tomas Lindgren,Mid-Market,92000,Qualification,2,20,Pipeline,2026-09-17,2025-10-01,2026-05-15,Follow up on pricing after Friday's call,5,False,False
opp_0080,Krusty Krab Solutions - Renewal,Krusty Krab Solutions,rep_004,Tomas Lindgren,Mid-Market,27000,Closed Lost,7,0,Closed,2026-04-23,2026-03-22,2026-05-12,Schedule security review with their CISO,8,True,False
opp_0081,Initech Networks - Renewal,Initech Networks,rep_004,Tomas Lindgren,Mid-Market,61000,Verbal,5,85,Commit,2026-06-08,2026-02-06,2026-05-08,Loop in their legal team on MSA redlines,12,False,False
opp_0082,Bluth Group - New Logo,Bluth Group,rep_004,Tomas Lindgren,Mid-Market,47500,Proposal,3,40,BestCase,2026-07-05,2026-04-14,2026-05-06,Loop in their legal team on MSA redlines,14,False,False
opp_0083,Sterling Cooper Analytics - Expansion,Sterling Cooper Analytics,rep_004,Tomas Lindgren,Mid-Market,39500,Qualification,2,20,Pipeline,2026-08-22,2025-11-30,2026-05-08,Follow up on pricing after Friday's call,12,False,False
opp_0084,Cyberdyne Analytics - Upsell,Cyberdyne Analytics,rep_004,Tomas Lindgren,Mid-Market,28500,Discovery,1,10,Pipeline,2026-06-28,2025-11-30,2026-04-28,Get verbal commit on close date from buyer,22,False,False
opp_0085,Wernham Hogg Solutions - Upsell,Wernham Hogg Solutions,rep_004,Tomas Lindgren,Mid-Market,35000,Discovery,1,10,Pipeline,2026-10-11,2025-11-29,2026-05-10,Get verbal commit on close date from buyer,10,False,False
opp_0086,Oscorp Solutions - Platform,Oscorp Solutions,rep_004,Tomas Lindgren,Mid-Market,88500,Proposal,3,40,BestCase,2026-06-26,2025-10-26,2026-05-16,Demo the API integration to their eng team,4,False,False
opp_0087,Stark Robotics - Platform,Stark Robotics,rep_004,Tomas Lindgren,Mid-Market,87500,Verbal,5,85,Commit,2026-06-09,2025-12-14,2026-04-08,Loop in their legal team on MSA redlines,42,False,False
opp_0088,Aviato Partners - Expansion,Aviato Partners,rep_004,Tomas Lindgren,Mid-Market,89000,Negotiation,4,65,Commit,2026-06-12,2025-11-10,2026-05-15,Loop in their legal team on MSA redlines,5,False,False
opp_0089,Pied Piper Capital - New Logo,Pied Piper Capital,rep_004,Tomas Lindgren,Mid-Market,20500,Closed Lost,7,0,Closed,2026-05-05,2026-03-31,2026-05-09,Schedule security review with their CISO,11,True,False
opp_0090,Pendant Publishing Systems - Platform,Pendant Publishing Systems,rep_004,Tomas Lindgren,Mid-Market,88500,Proposal,3,40,BestCase,2026-08-04,2025-11-04,2026-05-07,Demo the API integration to their eng team,13,False,False
opp_0091,Oscorp Holdings - New Logo,Oscorp Holdings,rep_004,Tomas Lindgren,Mid-Market,72500,Negotiation,4,65,Commit,2026-07-14,2026-02-19,2026-05-10,Schedule security review with their CISO,10,False,False
opp_0092,Bluestar Robotics - Expansion,Bluestar Robotics,rep_004,Tomas Lindgren,Mid-Market,77500,Discovery,1,10,Pipeline,2026-11-07,2026-01-12,2026-04-19,Schedule security review with their CISO,31,False,False
opp_0093,Dunder Mifflin Technologies - New Logo,Dunder Mifflin Technologies,rep_004,Tomas Lindgren,Mid-Market,34500,Negotiation,4,65,Commit,2026-07-02,2026-02-13,2026-05-09,Follow up on pricing after Friday's call,11,False,False
opp_0094,LexCorp Technologies - Renewal,LexCorp Technologies,rep_005,Yuki Tanaka,Mid-Market,50000,Closed Lost,7,0,Closed,2026-05-02,2025-10-14,2026-05-08,Schedule security review with their CISO,12,True,False
opp_0095,Globex Holdings - Expansion,Globex Holdings,rep_005,Yuki Tanaka,Mid-Market,55000,Qualification,2,20,Pipeline,2026-11-06,2026-01-17,2026-05-14,,6,False,False
opp_0096,Umbrella Dynamics - Renewal,Umbrella Dynamics,rep_005,Yuki Tanaka,Mid-Market,33000,Negotiation,4,65,Commit,2026-07-18,2026-01-14,2026-05-13,Schedule security review with their CISO,7,False,False
opp_0097,Pied Piper Industries - Platform,Pied Piper Industries,rep_005,Yuki Tanaka,Mid-Market,29000,Verbal,5,85,Commit,2026-06-06,2026-04-16,2026-05-20,Send revised SOW reflecting reduced scope,0,False,False
opp_0098,Dunder Mifflin Holdings - Expansion,Dunder Mifflin Holdings,rep_005,Yuki Tanaka,Mid-Market,47500,Negotiation,4,65,Commit,2026-06-23,2025-10-24,2026-05-20,Loop in their legal team on MSA redlines,0,False,False
opp_0099,Dunder Mifflin Capital - Platform,Dunder Mifflin Capital,rep_005,Yuki Tanaka,Mid-Market,37500,Qualification,2,20,Pipeline,2026-07-27,2026-01-07,2026-05-09,Demo the API integration to their eng team,11,False,False
opp_0100,Mom's Friendly Capital - New Logo,Mom's Friendly Capital,rep_005,Yuki Tanaka,Mid-Market,19000,Qualification,2,20,Pipeline,2026-11-07,2025-12-16,2026-05-13,Follow up on pricing after Friday's call,7,False,False
opp_0101,Sterling Cooper Partners - Expansion,Sterling Cooper Partners,rep_005,Yuki Tanaka,Mid-Market,50500,Proposal,3,40,Pipeline,2026-06-18,2025-09-22,2026-05-12,Schedule security review with their CISO,8,False,False
opp_0102,Globex Networks - Upsell,Globex Networks,rep_005,Yuki Tanaka,Mid-Market,84000,Discovery,1,10,Pipeline,2026-09-11,2026-02-05,2026-05-13,Get verbal commit on close date from buyer,7,False,False
opp_0103,Cyberdyne Holdings - New Logo,Cyberdyne Holdings,rep_005,Yuki Tanaka,Mid-Market,81000,Negotiation,4,65,Commit,2026-07-11,2025-11-24,2026-05-15,,5,False,False
opp_0104,Acme Corp - New Logo,Acme Corp,rep_005,Yuki Tanaka,Mid-Market,72000,Discovery,1,10,Pipeline,2026-07-27,2025-11-20,2026-05-08,,12,False,False
opp_0105,Pendant Publishing Dynamics - New Logo,Pendant Publishing Dynamics,rep_005,Yuki Tanaka,Mid-Market,63000,Proposal,3,40,Pipeline,2026-07-07,2025-11-08,2026-05-17,Get verbal commit on close date from buyer,3,False,False
opp_0106,Oscorp Logistics - Renewal,Oscorp Logistics,rep_005,Yuki Tanaka,Mid-Market,93000,Verbal,5,85,Commit,2026-06-05,2026-03-16,2026-05-07,Follow up on pricing after Friday's call,13,False,False
opp_0107,Tyrell Health - Upsell,Tyrell Health,rep_005,Yuki Tanaka,Mid-Market,94500,Qualification,2,20,Pipeline,2026-08-01,2026-04-11,2026-05-19,Loop in their legal team on MSA redlines,1,False,False
opp_0108,Bluth Corp - Expansion,Bluth Corp,rep_005,Yuki Tanaka,Mid-Market,23500,Discovery,1,10,Pipeline,2026-09-07,2025-11-13,2026-05-19,Get verbal commit on close date from buyer,1,False,False
opp_0109,Initech Health - Renewal,Initech Health,rep_005,Yuki Tanaka,Mid-Market,61000,Negotiation,4,65,Commit,2026-06-28,2026-02-18,2026-05-20,Send mutual close plan for sign-off,0,False,False
opp_0110,LexCorp Industries - Upsell,LexCorp Industries,rep_005,Yuki Tanaka,Mid-Market,65000,Closed Won,6,100,Closed,2026-05-10,2026-02-24,2026-05-12,Confirm budget approval from CFO,8,True,True
opp_0111,Bluestar Holdings - Expansion,Bluestar Holdings,rep_005,Yuki Tanaka,Mid-Market,63000,Closed Won,6,100,Closed,2026-05-05,2025-10-20,2026-05-12,Send mutual close plan for sign-off,8,True,True
opp_0112,Mom's Friendly Systems - New Logo,Mom's Friendly Systems,rep_005,Yuki Tanaka,Mid-Market,30500,Proposal,3,40,Pipeline,2026-07-01,2026-03-17,2026-05-19,Loop in their legal team on MSA redlines,1,False,False
opp_0113,Hooli Technologies - Platform,Hooli Technologies,rep_005,Yuki Tanaka,Mid-Market,39500,Negotiation,4,65,Commit,2026-06-15,2025-09-22,2026-05-08,,12,False,False
opp_0114,Planet Express Solutions - Renewal,Planet Express Solutions,rep_005,Yuki Tanaka,Mid-Market,65500,Closed Lost,7,0,Closed,2026-04-30,2025-12-25,2026-05-11,Loop in their legal team on MSA redlines,9,True,False
opp_0115,Massive Dynamic Networks - Expansion,Massive Dynamic Networks,rep_005,Yuki Tanaka,Mid-Market,55000,Verbal,5,85,Commit,2026-05-28,2026-01-11,2026-03-10,,71,False,False
opp_0116,Sudden Valley Health - Upsell,Sudden Valley Health,rep_005,Yuki Tanaka,Mid-Market,35000,Qualification,2,20,Pipeline,2026-10-23,2026-01-13,2026-05-08,Loop in their legal team on MSA redlines,12,False,False
opp_0117,Wonka Corp - Upsell,Wonka Corp,rep_005,Yuki Tanaka,Mid-Market,60000,Discovery,1,10,Pipeline,2026-07-23,2026-01-24,2026-05-17,Schedule security review with their CISO,3,False,False
opp_0118,Massive Dynamic Analytics - Renewal,Massive Dynamic Analytics,rep_005,Yuki Tanaka,Mid-Market,50000,Verbal,5,85,Commit,2026-05-24,2026-01-01,2026-05-18,Demo the API integration to their eng team,2,False,False
opp_0119,Oscorp Systems - Upsell,Oscorp Systems,rep_005,Yuki Tanaka,Mid-Market,38000,Closed Won,6,100,Closed,2026-04-24,2025-09-27,2026-05-08,,12,True,True
opp_0120,Planet Express Solutions - Upsell,Planet Express Solutions,rep_005,Yuki Tanaka,Mid-Market,43000,Proposal,3,40,Pipeline,2026-06-19,2025-09-25,2026-05-06,Follow up on pricing after Friday's call,14,False,False
opp_0121,Bluth Robotics - Renewal,Bluth Robotics,rep_005,Yuki Tanaka,Mid-Market,36500,Discovery,1,10,Pipeline,2026-10-18,2025-11-18,2026-05-10,Loop in their legal team on MSA redlines,10,False,False
opp_0122,Oscorp Technologies - Renewal,Oscorp Technologies,rep_006,Marcus Bell,Commercial,10500,Proposal,3,40,Pipeline,2026-07-28,2026-03-18,2026-03-14,,67,False,False
opp_0123,Stark Capital - New Logo,Stark Capital,rep_006,Marcus Bell,Commercial,7000,Discovery,1,10,Pipeline,2026-09-11,2026-03-07,2026-05-20,Loop in their legal team on MSA redlines,0,False,False
opp_0124,Bluth Networks - Renewal,Bluth Networks,rep_006,Marcus Bell,Commercial,12500,Qualification,2,20,Pipeline,2026-11-13,2025-10-09,2026-04-28,Follow up on pricing after Friday's call,22,False,False
opp_0125,Hooli XYZ Technologies - Expansion,Hooli XYZ Technologies,rep_006,Marcus Bell,Commercial,22500,Discovery,1,10,Pipeline,2026-07-19,2026-02-21,2026-05-09,Get verbal commit on close date from buyer,11,False,False
opp_0126,Oscorp Industries - New Logo,Oscorp Industries,rep_006,Marcus Bell,Commercial,9500,Discovery,1,10,Pipeline,2026-08-21,2026-03-27,2026-05-16,Send mutual close plan for sign-off,4,False,False
opp_0127,Initech Group - Renewal,Initech Group,rep_006,Marcus Bell,Commercial,9500,Proposal,3,40,Pipeline,2026-07-21,2026-03-30,2026-05-06,Send revised SOW reflecting reduced scope,14,False,False
opp_0128,Planet Express Networks - Platform,Planet Express Networks,rep_006,Marcus Bell,Commercial,12500,Proposal,3,40,Pipeline,2026-06-17,2026-02-08,2026-05-17,Confirm budget approval from CFO,3,False,False
